行政區,門市名稱,店舖代號,詳細地址,緯度(Latitude),經度(Longitude),營業時間,洗手間/公廁服務,內用休憩座位,Fami!ce霜淇淋,Let's Café咖啡,FamiPort事務機,ATM自動櫃員機,行動電源租借,Gogoro換電站,全部服務項目彙整,網站小卡文案簡介,特色標籤,站點代碼,Google地圖連結
虎尾鎮,全家虎尾林森店,15421,雲林縣虎尾鎮林森路二段180號,23.710891,120.430123,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro換電,現烤點心",虎尾林森路主幹道直營風格大店，停車便利，設有 Gogoro 換電站與顧客公廁。,"林森路主線,Gogoro換電,洗手間,霜淇淋",FM-YL-011,"https://www.google.com/maps/search/?api=1&query=23.710891,120.430123"
虎尾鎮,全家虎尾布袋戲店,17892,雲林縣虎尾鎮林森路一段510號 (布袋戲館/故事館旁),23.709123,120.434123,24小時營業,提供 (顧客洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,文化景點旁,悠遊卡加值",座落虎尾文化四館核心，逛完布袋戲館與故事館後，最佳吹冷氣吃冰歇腳處。,"布袋戲館旁,故事館周邊,文化商圈,霜淇淋,洗手間",FM-YL-012,"https://www.google.com/maps/search/?api=1&query=23.709123,120.434123"
虎尾鎮,全家虎尾平和店,18654,雲林縣虎尾鎮平和路92號,23.702145,120.438912,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,熱水補給",虎尾糖廠與同心公園周邊生活圈，鄰近糖鐵五分車動線，補水便利。,"糖廠周邊,同心公園旁,洗手間,霜淇淋",FM-YL-013,"https://www.google.com/maps/search/?api=1&query=23.702145,120.438912"
虎尾鎮,全家虎尾學府店,19782,雲林縣虎尾鎮學府路120號 (高鐵特定區/臺大醫院旁),23.732145,120.437654,24小時營業,提供 (洗手間/無障礙),提供 (明亮座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,臺大醫院旁",高鐵特定區新興大門市，臺大虎尾院區旁，空間開闊乾淨，附設換電站與水廁。,"高鐵特區,臺大醫院旁,Gogoro,無障礙洗手間",FM-YL-014,"https://www.google.com/maps/search/?api=1&query=23.732145,120.437654"
斗南鎮,全家斗南車站店,17120,雲林縣斗南鎮中山路2號 (斗南火車站前廣場),23.679123,120.481543,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,台鐵轉乘,MOOVO站旁",斗南火車站站前出口第一家，鄰近 MOOVO 站點與老街，轉乘與出發必備補給處。,"斗南火車站,站前廣場,MOOVO接駁,霜淇淋,洗手間",FM-YL-015,"https://www.google.com/maps/search/?api=1&query=23.679123,120.481543"
斗南鎮,全家斗南延平店,16234,雲林縣斗南鎮延平路二段88號,23.685412,120.489123,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro換電,台1線省道",省道台1線縱貫公路重要門市，設有大型停車空間與 Gogoro 換電，車友環島指定補給點。,"台1線省道,單車環島,Gogoro,洗手間,霜淇淋",FM-YL-016,"https://www.google.com/maps/search/?api=1&query=23.685412,120.489123"
斗南鎮,全家斗南順安店,18342,雲林縣斗南鎮長安路一段110號 (順安宮旁),23.675678,120.480543,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,廟口美食商圈",斗南順安宮媽祖廟旁，深入斗南傳統小吃商圈的舒適水廁加水門市。,"順安宮旁,廟口商圈,洗手間,霜淇淋",FM-YL-017,"https://www.google.com/maps/search/?api=1&query=23.675678,120.480543"
斗南鎮,全家斗南交流店,19124,雲林縣斗南鎮大同路550號,23.673891,120.463214,24小時營業,提供 (洗手間/無障礙),提供 (大型座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,大座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,國道交流道旁",斗南交流道與158縣道交會處旗艦大店，腹地大、好停車，水廁完備。,"交流道旗艦,大座位區,Gogoro,水廁齊備",FM-YL-018,"https://www.google.com/maps/search/?api=1&query=23.673891,120.463214"
西螺鎮,全家西螺大橋店,17789,雲林縣西螺鎮建興路280號 (西螺大橋南端路口),23.802145,120.462891,24小時營業,提供 (洗手間),提供 (景觀休憩座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,大橋景觀,MOOVO站旁",西螺大橋南端經典地標門市，過橋前後必訪，設有 Gogoro 換電、霜淇淋與水廁。,"西螺大橋旁,老街起點,Gogoro,霜淇淋,景觀座位",FM-YL-019,"https://www.google.com/maps/search/?api=1&query=23.802145,120.462891"
西螺鎮,全家西螺福興店,16982,雲林縣西螺鎮延平路160號 (福興宮太平媽旁),23.800891,120.461876,24小時營業,提供 (洗手間),提供 (古風座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,老街商圈,特色伴手禮",座落西螺延平老街核心，福興宮旁，建築帶有復古風格，老街漫遊補水首選。,"延平老街,福興宮旁,復古門市,霜淇淋,洗手間",FM-YL-020,"https://www.google.com/maps/search/?api=1&query=23.800891,120.461876"
西螺鎮,全家西螺中山店,15671,雲林縣西螺鎮中山路150號,23.797812,120.460123,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,西螺轉運站旁",鄰近西螺轉運站與國道客運下車點，轉乘單車或公車之重要補給水廁站。,"轉運站旁,中山商圈,洗手間,霜淇淋",FM-YL-021,"https://www.google.com/maps/search/?api=1&query=23.797812,120.460123"
西螺鎮,全家西螺交流店,18901,雲林縣西螺鎮中山路260號,23.783412,120.467812,24小時營業,提供 (特優洗手間/無障礙),提供 (大型內用區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),提供 (Gogoro換電站),"特優洗手間,大座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,交流道樞紐",國道1號西螺交流道口大型旗艦店，停車位充足，設備新穎完備。,"交流道旗艦,大停車場,Gogoro,無障礙洗手間",FM-YL-022,"https://www.google.com/maps/search/?api=1&query=23.783412,120.467812"
北港鎮,全家北港朝天店,16781,雲林縣北港鎮民主路88號 (朝天宮廟前商圈),23.567812,120.303891,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,朝天宮旁,特色進香補給",朝天宮老街核心門市，香客與觀光客如織，提供清涼霜淇淋、水廁與行動電源。,"朝天宮老街,進香熱點,霜淇淋,洗手間,單品咖啡",FM-YL-023,"https://www.google.com/maps/search/?api=1&query=23.567812,120.303891"
北港鎮,全家北港武德店,18234,雲林縣北港鎮華勝路320號 (五路武財神武德宮旁),23.584512,120.305678,24小時營業,提供 (顧客洗手間),提供 (大內用座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),提供 (Gogoro換電站),"洗手間,大座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro換電,武德宮旁,MOOVO站",全台財神祖廟武德宮旁，門市寬敞、設有 Gogoro 換電站與 MOOVO 站點，朝聖必停。,"武德宮旁,Gogoro換電,MOOVO站點,大座位區,霜淇淋",FM-YL-024,"https://www.google.com/maps/search/?api=1&query=23.584512,120.305678"
北港鎮,全家北港華勝店,15902,雲林縣北港鎮華勝路120號,23.576123,120.307123,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,台19線主線,冷熱水",台19線省道北港門戶主幹道門市，南下嘉義新港或北上元長重要中繼補給站。,"台19線省道,華勝商圈,洗手間,霜淇淋",FM-YL-025,"https://www.google.com/maps/search/?api=1&query=23.576123,120.307123"
北港鎮,全家北港文仁店,19231,雲林縣北港鎮文仁路156號,23.571234,120.298765,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,媽祖醫院周邊",北港運動公園與中國醫藥大學媽祖醫院生活圈，環境安靜，水廁舒適。,"媽祖醫院旁,文化中心周邊,洗手間,霜淇淋",FM-YL-026,"https://www.google.com/maps/search/?api=1&query=23.571234,120.298765"
古坑鄉,全家古坑綠隧店,17845,雲林縣古坑鄉湳仔村湳仔路18-1號 (綠色隧道公園入口),23.661234,120.547891,24小時營業,提供 (洗手間/無障礙),提供 (林蔭景觀座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡/古坑咖啡聯名),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),提供 (Gogoro換電站),"洗手間,景觀座位,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,綠色隧道旁,MOOVO站",古坑綠色隧道公園旁超人氣門市，設有戶外景觀座位與換電站，假日單車慢活必訪。,"綠色隧道旁,景觀座位,Gogoro,MOOVO站,霜淇淋",FM-YL-027,"https://www.google.com/maps/search/?api=1&query=23.661234,120.547891"
古坑鄉,全家古坑中山店,16332,雲林縣古坑鄉中山路120號,23.644512,120.561876,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,咖啡之鄉核心,爬坡前補給",古坑市街核心，挑戰華山爬坡與咖啡公路前最後平地全能便利補給站。,"古坑市區,爬坡前哨,洗手間,霜淇淋",FM-YL-028,"https://www.google.com/maps/search/?api=1&query=23.644512,120.561876"
古坑鄉,全家古坑永光店,18556,雲林縣古坑鄉光興路55號,23.619123,120.569812,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,劍湖山門戶",劍湖山世界山腳下與158乙線交會處，進山前的重要換電、加水與洗手間站點。,"劍湖山門戶,158乙線,Gogoro換電,洗手間",FM-YL-029,"https://www.google.com/maps/search/?api=1&query=23.619123,120.569812"
古坑鄉,全家古坑華山店,19881,雲林縣古坑鄉華山村華山35-1號 (華山咖啡大街入口),23.592891,120.597123,06:30-22:00,提供 (洗手間),提供 (山景休憩區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),無,"洗手間,山景座位,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,山區熱水,急救藥包",華山149縣道高海拔門市，公路車挑戰攻頂的救命補給站，提供熱水、咖啡與山景休憩。,"華山咖啡山頂,公路車爬坡熱點,山景座位,水廁補給",FM-YL-030,"https://www.google.com/maps/search/?api=1&query=23.592891,120.597123"
林內鄉,全家林內中正店,17234,雲林縣林內鄉中正路220號,23.757812,120.613891,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,林內車站商圈",林內市區台3線旁門市，近火車站與龍過脈步道，前往南投竹山前的重要補給大站。,"林內車站旁,台3線省道,Gogoro,霜淇淋,洗手間",FM-YL-031,"https://www.google.com/maps/search/?api=1&query=23.757812,120.613891"
林內鄉,全家林內重興店,18912,雲林縣林內鄉重興村中興路85號,23.746123,120.602145,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,農村田園中繼",林內往斗六外環田園動線門市，安靜好停車，提供過路車友便利水廁。,"重興聚落,外環道,洗手間,霜淇淋",FM-YL-032,"https://www.google.com/maps/search/?api=1&query=23.746123,120.602145"
莿桐鄉,全家莿桐中正店,16891,雲林縣莿桐鄉中正路150號,23.761234,120.532145,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,台1線省道",台1線省道莿桐段核心門市，環島騎士必經，設有換電站、洗手間與美味霜淇淋。,"台1線省道,單車環島,Gogoro,霜淇淋,洗手間",FM-YL-033,"https://www.google.com/maps/search/?api=1&query=23.761234,120.532145"
莿桐鄉,全家莿桐饒平店,19342,雲林縣莿桐鄉饒平路66號,23.779123,120.562345,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,154縣道,堤岸補給",縣道154線濁水溪堤防南岸門市，往林內與西螺中繼加水點。,"饒平聚落,154縣道,洗手間,霜淇淋",FM-YL-034,"https://www.google.com/maps/search/?api=1&query=23.779123,120.562345"
土庫鎮,全家土庫中正店,17112,雲林縣土庫鎮中正路135號 (順天宮老街商圈),23.692891,120.361876,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,順天宮旁,老街商圈",土庫老街核心門市，順天宮媽祖廟旁，吃完鴨肉麵線後的最佳吹冷氣補水點。,"土庫老街,順天宮旁,洗手間,霜淇淋,單品咖啡",FM-YL-035,"https://www.google.com/maps/search/?api=1&query=23.692891,120.361876"
土庫鎮,全家土庫馬光店,18781,雲林縣土庫鎮馬光路140號,23.676123,120.322891,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,櫻花大道旁",馬光聚落中心，緊鄰馬光國中印度櫻花大道，春季賞花與車友換電休憩大站。,"馬光聚落,櫻花大道旁,Gogoro換電,水廁齊備",FM-YL-036,"https://www.google.com/maps/search/?api=1&query=23.676123,120.322891"
大埤鄉,全家大埤南門店,16993,雲林縣大埤鄉南門街15號,23.646123,120.430891,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,公所圖書館旁",大埤鄉公所與酸菜文化園區旁，酸菜之鄉的核心全家門市，水廁服務親切便利。,"酸菜之鄉,公所商圈,洗手間,霜淇淋",FM-YL-037,"https://www.google.com/maps/search/?api=1&query=23.646123,120.430891"
大埤鄉,全家大埤延平店,19451,雲林縣大埤鄉延平路二段30號,23.649123,120.434512,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro換電,外環幹道",大埤外環道重要門市，方便停靠單車與電動機車換電，提供冰熱飲品與洗手間。,"大埤外環,Gogoro換電,洗手間,霜淇淋",FM-YL-038,"https://www.google.com/maps/search/?api=1&query=23.649123,120.434512"
二崙鄉,全家二崙中興店,17342,雲林縣二崙鄉中興路50號,23.771543,120.416123,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,詔安客家核心",二崙市區核心門市，詔安客家文化館旁，客庄單車漫遊重要補水與換電站。,"二崙市區,詔安客家,Gogoro,洗手間,霜淇淋",FM-YL-039,"https://www.google.com/maps/search/?api=1&query=23.771543,120.416123"
二崙鄉,全家二崙油車店,19561,雲林縣二崙鄉文化路70號,23.788123,120.382145,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,154縣道,堤岸車道",154縣道油車聚落門市，濁水溪堤岸自行車路線重要補給點，水廁齊全。,"油車聚落,154縣道,濁水溪堤岸,洗手間",FM-YL-040,"https://www.google.com/maps/search/?api=1&query=23.788123,120.382145"
崙背鄉,全家崙背正義店,16912,雲林縣崙背鄉正義路160號,23.761891,120.358123,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),提供 (Gogoro換電站),"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,Gogoro,千巧谷旁,酪農專區",崙背酪農專區與千巧谷周邊門市，市區生活圈中心，換電、吃冰、洗手間全包。,"酪農之鄉,千巧谷周邊,Gogoro,霜淇淋,洗手間",FM-YL-041,"https://www.google.com/maps/search/?api=1&query=23.761891,120.358123"
崙背鄉,全家崙背豐榮店,19672,雲林縣崙背鄉豐榮路125號,23.778123,120.312345,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café),提供 (FamiPort),提供 (ATM),提供 (行動電源),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,154縣道,西進海線門戶",154縣道西行往麥寮濱海公路門戶，進入沿海強風區前的重要加水補給站。,"豐榮聚落,海線門戶,154縣道,洗手間",FM-YL-042,"https://www.google.com/maps/search/?api=1&query=23.778123,120.312345"
麥寮鄉,全家麥寮中正店,17456,雲林縣麥寮鄉中正路55號 (拱範宮媽祖廟旁),23.747612,120.254678,24小時營業,提供 (洗手間),提供 (座位區),提供 (Fami!ce 霜淇淋),提供 (Let's Café 單品咖啡),提供 (FamiPort),提供 (ATM),提供 (行動電源租借),無,"洗手間,座位區,Fami!ce霜淇淋,Let's Café,FamiPort,ATM,拱範宮旁,老街商圈",國定古蹟拱範宮老街商圈核心，麥寮市區最熱鬧的加水如廁便利站。,"拱範宮旁,麥寮市區,霜淇淋,洗手間,單品咖啡",FM-YL-043,"https://www.google.com/maps/search/?api=1&query=23.747612,120.254678"
