id,district,store_name,product_name,address,X,Y,phone,business_hours,coordinates,tags,description
11,北港鎮,北港日興堂囍餅,紅豆顆粒麻糬狀元餅、古早味肉餅,651雲林縣北港鎮中山路3號,120.305120,23.565850,05-7833779,08:00–22:00,"23.565850, 120.305120","北港狀元餅, 百年老店, 傳統喜餅",朝天宮前超人氣傳統糕餅名店，狀元餅內餡飽滿、芝麻香濃酥脆。
12,北港鎮,北港傳發之家,手工古早味麥芽花生糖、現作花生酥,651雲林縣北港鎮中山路20號,120.304950,23.566120,05-7834521,08:30–20:00,"23.566120, 120.304950","手工花生糖, 麥芽糖, 經典甜點",遵循古法現拉現切麥芽花生糖，層次豐富、香脆可口不黏牙。
13,北港鎮,狀元珍水蒸蛋糕 (北港創始店),古法水蒸鹹蛋糕、黑糖桂圓蛋糕,651雲林縣北港鎮中山路107號,120.304210,23.567850,05-7835158,08:30–19:30,"23.567850, 120.304210","水蒸蛋糕, 古法炊蒸, 鹹甜美味",傳統蒸籠工藝炊蒸，低油低糖，蛋糕體鬆軟濕潤且香氣四溢。
14,古坑鄉,蜜蜂故事館 Honey Museum,100%純龍眼手壓蜜、蜂膠、蜂蜜果醋,646雲林縣古坑鄉湳子路88號,120.551230,23.633120,05-5828255,09:00–17:30 (週末至18:00),"23.633120, 120.551230","純天然蜂蜜, 養蜂生態, 親子休閒",綠色隧道旁的養蜂教育基地，嚴選100%純正天然蜂蜜與多樣蜂產禮盒。
15,古坑鄉,福祿壽觀光酒廠,雲上福祿壽高粱酒、高粱酒香腸禮盒,646雲林縣古坑鄉中山路11號,120.562140,23.642510,05-5823106,09:00–17:00,"23.642510, 120.562140","古法高粱, 甕藏陳高, 觀光酒廠",引朱山甘冽泉水，古法低溫固態發酵蒸餾，酒體醇厚甘冽。
16,古坑鄉,谷泉咖啡莊園,古坑精品台灣咖啡豆、濾掛咖啡禮盒,646雲林縣古坑鄉荷苞村荷苞34-5號,120.574210,23.662150,05-5262781,10:00–18:00 (週二三休),"23.662150, 120.574210","古坑台灣咖啡, 水洗淺焙, 產地直烘",台灣本土咖啡先驅，自產自烘精品豆，風味純淨帶有豐富果香。
17,崙背鄉,千巧谷牛樂園牧場 / 烘焙坊,鮮奶酥禮盒、焦糖布蕾堡、崙背鮮奶球,637雲林縣崙背鄉羅厝村東興182-32號,120.364850,23.765120,05-6969845,09:00–19:00 (週末至20:00),"23.765120, 120.364850","崙背酪農鮮乳, 鮮奶酪, 人氣烘焙",結合崙背酪農在地鮮乳，製作出濃郁醇厚的鮮奶乳酪與特色伴手禮。
18,土庫鎮,源順芝麻觀光油廠,冷壓初榨黑麻油、頂級冷壓土豆油、芝麻糖,633雲林縣土庫鎮成功路1-60號,120.362140,23.693150,05-6622268,08:00–17:30,"23.693150, 120.362140","冷壓黑麻油, 純天然製油, 健康油品",百年製油名家，堅持低溫冷壓初榨，保留黑芝麻與花生天然營養與純香。
19,土庫鎮,樂米工坊 (米蛋糕),100%純米烘焙米蛋糕、米鳳梨酥、米餅乾,633雲林縣土庫鎮建國路35巷3號,120.365120,23.687450,05-6626009,09:00–18:00 (週一休),"23.687450, 120.365120","無麩質, 100%純米點心, 米烘焙",將在地台灣好米研磨成粉，打造無麩質米蛋糕與米點心，健康輕負擔。
20,台西鄉,玉津烘焙坊,牡蠣酥餅、沙拉三明治、寶貝蛋黃酥,636雲林縣台西鄉中山路131號,120.198120,23.702850,05-6982420,08:00–21:00,"23.702850, 120.198120","海線特產, 牡蠣酥餅, 在地名產",將台西沿海新鮮牡蠣與傳統酥餅創新結合，獨家海味伴手禮首選。
21,大埤鄉,洽源馨西點麵包廠,古早味鳥仔餅禮盒、肉絲酥,631雲林縣大埤鄉延惠村南門街13號,120.431250,23.644120,05-5912440,07:30–21:00,"23.644120, 120.431250","百年傳統點心, 鳥仔餅, 大埤特產",大埤百年古早味，造型討喜可愛的「鳥仔餅」，外皮鬆酥、內餡香甜。
22,大埤鄉,大埤酸菜文化館,陳年老酸菜禮盒、酸菜伴手禮組,631雲林縣大埤鄉民生路665號,120.428510,23.649150,05-5915904,08:00–16:00 (週一二休),"23.649150, 120.428510","酸菜之鄉, 傳統醃漬, 料理好物",台灣酸菜重鎮，古法自然發酵，甘醇鹹酸，煲湯料理必備特產。
23,水林鄉,水林杰樂蕃薯園,黃金地瓜乾 (無加糖)、冰烤地瓜,652雲林縣水林鄉水北村水林路1-50號,120.246120,23.571250,05-7833189,08:00–18:00,"23.571250, 120.246120","台農57號, 原味地瓜乾, 天然無添加",嚴選水林特產台農57號黃金地瓜，低溫烘焙無添加，香甜Q軟又健康。
24,口湖鄉,口湖第一鰻波 (鰻魚故事館),蒲燒胭脂鰻禮盒、鰻魚起司燒,653雲林縣口湖鄉埔南村外埔路1-2號,120.190128,23.597365,0963-120203,09:00–17:00 (週一休),"23.597365, 120.190128","外銷日本, 產銷履歷, 頂級胭脂鰻",頂級外銷日本胭脂鰻魚，肉質細嫩無腥味，加熱即食頂級海味。
25,口湖鄉,台灣鯛生態創意園區,鮮凍台灣鯛魚片、膠原蛋白胜肽精華、鯛魚香酥,653雲林縣口湖鄉崙東村民生路1-88號,120.201250,23.582150,05-7993996,09:00–16:30 (週二三休),"23.582150, 120.201250","台灣鯛, 膠原蛋白, 國際認證漁產",全台首座台灣鯛觀光工廠，創新研發高品質水產與生技膠原蛋白伴手禮。
