站點代碼,維修點名稱,行政區,店家體系/類型,X,Y,詳細地址/位置地標,phone,services,營業時間,網站小卡文案簡介,特色標籤,聯絡電話與維修服務項目,Google地圖連結
REP-YL-012,捷安特 斗南源興車行,斗南鎮,捷安特專賣/維修,120.480123,23.678912,中山路88號 (斗南車站商圈),05-5972412,捷安特全系列檢修、環島單車出發前全車健檢、補胎更換內外胎、煞車耗材更換,週一至週六 09:00-21:00,斗南車站旁知名捷安特經銷店，台1線環島騎士重要後勤整備與維修基地。,"捷安特,台1線環島,出發前健檢,火車站旁",電話: 05-5972412 | 服務項目: 捷安特全系列檢修、環島單車出發前全車健檢、補胎更換內外胎、煞車耗材更換,"https://www.google.com/maps/search/?api=1&query=23.678912,120.480123"
REP-YL-013,順興自行車行,斗南鎮,傳統單車維修,120.478912,23.675432,延平路一段180號,05-5973321,傳統自行車修繕、換胎、補胎、煞車皮更換、打氣,週一至週六 08:00-20:00,斗南市區老牌修車行，技術純熟，快速解決破胎、掉鏈與煞車鬆弛問題。,"老牌車行,快速補胎,換煞車線",電話: 05-5973321 | 服務項目: 傳統自行車修繕、換胎、補胎、煞車皮更換、打氣,"https://www.google.com/maps/search/?api=1&query=23.675432,120.478912"
REP-YL-014,宏垣自行車行 (美利達西螺),西螺鎮,美利達專賣/維修,120.461876,23.801234,建興路178號 (西螺老街商圈),05-5865625,美利達運動車款保養、西螺大橋長征車輛檢修、傳動調整、換胎補胎、胎壓補氣,週一至週六 08:30-20:30,西螺老街與大橋旁重要專業單車行，過橋前檢查胎壓與鏈條的最佳技術據點。,"美利達,西螺老街旁,大橋整備,輪胎修補",電話: 05-5865625 | 服務項目: 美利達運動車款保養、西螺大橋長征車輛檢修、傳動調整、換胎補胎、胎壓補氣,"https://www.google.com/maps/search/?api=1&query=23.801234,120.461876"
REP-YL-015,大橋單車修理部,西螺鎮,傳統單車維修,120.463214,23.800512,延平路210號 (福興宮旁),05-5862314,老鐵馬翻修、補內胎、換外胎、鏈條截短上油、簡易故障排除,每日 08:00-19:00,福興宮媽祖廟旁老字號修理鋪，充滿人情味，提供過路香客與車友緊急救車服務。,"福興宮旁,人情味老店,緊急補胎",電話: 05-5862314 | 服務項目: 老鐵馬翻修、補內胎、換外胎、鏈條截短上油、簡易故障排除,"https://www.google.com/maps/search/?api=1&query=23.800512,120.463214"
REP-YL-016,美利達自行車 東明車行 (北港店),北港鎮,美利達專賣/維修,120.301891,23.574512,大同路133號 (北港市區核心),05-7831077,美利達全車系維修、進香長征單車保養、煞車系統更換、飛輪鏈條耗材,每日 08:00-21:00,北港知名美利達經銷老店，技術純熟，沿海與平原車友長途朝聖重要保養站。,"美利達經銷,北港核心,長征保養,專業技術",電話: 05-7831077 | 服務項目: 美利達全車系維修、進香長征單車保養、煞車系統更換、飛輪鏈條耗材,"https://www.google.com/maps/search/?api=1&query=23.574512,120.301891"
REP-YL-017,金興自行車行,北港鎮,傳統單車維修,120.304512,23.568912,民主路65號 (朝天宮周邊),05-7832251,補胎換胎、煞車調整、淑女車/變速車零件更換、高壓打氣,每日 08:00-20:00,朝天宮老街周邊熱情老車行，收費公道，快速排除各類單車機械故障。,"朝天宮周邊,快速修車,收費公道",電話: 05-7832251 | 服務項目: 補胎換胎、煞車調整、淑女車/變速車零件更換、高壓打氣,"https://www.google.com/maps/search/?api=1&query=23.568912,120.304512"
REP-YL-018,大福腳踏車行,大埤鄉,傳統單車維修,120.431234,23.645812,南和村民權路19號 (大埤市區核心),05-5911172,單車補胎、更換內外胎、煞車線更新、鏈條潤滑、打氣支援,每日 10:00-20:00,酸菜之鄉大埤市區在地良心車行，提供農村漫遊騎士及時破胎搶修與打氣服務。,"大埤市區,快速補胎,農村救急,打氣",電話: 05-5911172 | 服務項目: 單車補胎、更換內外胎、煞車線更新、鏈條潤滑、打氣支援,"https://www.google.com/maps/search/?api=1&query=23.645812,120.431234"
REP-YL-019,褒忠中勝車業 (單車/機車修配),褒忠鄉,綜合維修/應急修車,120.312145,23.694123,中民村中民路190號 (褒忠市區核心),05-6973323,單車應急補胎、更換輪胎、高壓胎壓充氣、煞車調整、鏈條潤滑,每日 08:00-21:00,褒忠市街158縣道重要應急修車點，平原橫貫騎行遇破胎掉鏈的最佳救援處。,"褒忠市區,158縣道,應急補胎,高壓充氣",電話: 05-6973323 | 服務項目: 單車應急補胎、更換輪胎、高壓胎壓充氣、煞車調整、鏈條潤滑,"https://www.google.com/maps/search/?api=1&query=23.694123,120.312145"
REP-YL-020,東勢鐵馬修配所,東勢鄉,傳統單車維修,120.254891,23.675412,東南村東勢東路111號 (賜安宮商圈),05-6992145,自行車快速換胎、補胎、煞車皮更換、傳動上油、打氣,週一至週六 08:00-19:00,東勢賜安宮旁在地車輛修配所，胡蘿蔔故鄉單車漫遊最安心的後勤支援。,"東勢市區,賜安宮旁,補胎換胎,打氣支援",電話: 05-6992145 | 服務項目: 自行車快速換胎、補胎、煞車皮更換、傳動上油、打氣,"https://www.google.com/maps/search/?api=1&query=23.675412,120.254891"
REP-YL-021,美利達自行車 宏和店,林內鄉,美利達專賣/維修,120.613412,23.756781,中正路240號 (林內車站商圈),05-5891302,台3線省道車輛救援、爬坡前變速調校、煞車來令片更換、內胎批發更換、打氣,週一至週六 08:30-20:30,台3線往南投竹山門戶重要單車店，進入山區前檢查煞車與變速系統必停站。,"美利達,台3線門戶,林內車站旁,爬坡前檢修",電話: 05-5891302 | 服務項目: 台3線省道車輛救援、爬坡前變速調校、煞車來令片更換、內胎批發更換、打氣,"https://www.google.com/maps/search/?api=1&query=23.756781,120.613412"
REP-YL-022,古坑鐵馬工坊,古坑鄉,單車維修/補給,120.561876,23.644512,中山路145號 (古坑街區),05-5821245,華山爬坡前齒比與變速檢查、煞車線更換、高壓打氣、防刺胎更換,週一至週六 08:00-19:30,挑戰華山、樟湖咖啡公路前最後平地維修站，提供爬坡車輛精準煞變調校。,"古坑街區,爬坡前哨,煞車檢測,高壓打氣",電話: 05-5821245 | 服務項目: 華山爬坡前齒比與變速檢查、煞車線更換、高壓打氣、防刺胎更換,"https://www.google.com/maps/search/?api=1&query=23.644512,120.561876"
REP-YL-023,土庫順發自行車行,土庫鎮,傳統單車維修,120.360891,23.692145,中正路168號 (順天宮旁),05-6622312,各類自行車快速補胎、更換內外胎、鏈條清潔保養、煞車皮更換,每日 08:00-19:30,土庫老街順天宮旁老店，快速解決單車破胎與鏈條卡死問題。,"土庫老街,快速補胎,老店技術",電話: 05-6622312 | 服務項目: 各類自行車快速補胎、更換內外胎、鏈條清潔保養、煞車皮更換,"https://www.google.com/maps/search/?api=1&query=23.692145,120.360891"
REP-YL-024,莿桐新興自行車行,莿桐鄉,綜合單車維修,120.532891,23.761234,中正路160號 (台1線省道旁),05-5842145,台1線環島公路車輛應急救援、外胎修補、煞車調整、胎壓檢測,週一至週六 08:00-20:00,省道台1線莿桐市街維修站，長途單車環島中途破胎、故障之重要救援點。,"台1線省道,環島救援,應急補胎,零件更換",電話: 05-5842145 | 服務項目: 台1線環島公路車輛應急救援、外胎修補、煞車調整、胎壓檢測,"https://www.google.com/maps/search/?api=1&query=23.761234,120.532891"
REP-YL-025,崙背協成自行車行,崙背鄉,綜合單車維修,120.356781,23.761543,正義路142號 (市區商圈),05-6962356,酪農專區單車修繕、補胎換胎、變速微調、打氣,週一至週六 08:00-19:30,崙背市街熱心車行，服務周到，提供平原鄉道長征車友及時技術援助。,"崙背市區,酪農之鄉,快速維修",電話: 05-6962356 | 服務項目: 酪農專區單車修繕、補胎換胎、變速微調、打氣,"https://www.google.com/maps/search/?api=1&query=23.761543,120.356781"
REP-YL-026,二崙建成自行車行,二崙鄉,傳統單車維修,120.415432,23.771891,中興路42號 (公所對面),05-5982178,補胎、更換輪胎、鏈條上油、煞車維護,週一至週六 08:00-19:00,二崙公所對面，詔安客家庄巡禮單車維修好幫手。,"二崙公所旁,詔安客家,補胎維修",電話: 05-5982178 | 服務項目: 補胎、更換輪胎、鏈條上油、煞車維護,"https://www.google.com/maps/search/?api=1&query=23.771891,120.415432"
REP-YL-027,麥寮泰安車業 (單車/電動車修配),麥寮鄉,單車/電輔車維修,120.254123,23.748123,中正路78號 (拱範宮旁),05-6932456,西濱沿海防鏽保養、電輔車檢測、內外胎更換、鏈條除鹽防鏽、緊急補胎,週一至週六 08:30-20:00,麥寮市區重要車輛保修點，專精沿海高鹽分氣候單車防鏽傳動維護與換胎。,"麥寮老街,西濱救援,電輔車修配,防鏽保養",電話: 05-6932456 | 服務項目: 西濱沿海防鏽保養、電輔車檢測、內外胎更換、鏈條除鹽防鏽、緊急補胎,"https://www.google.com/maps/search/?api=1&query=23.748123,120.254123"
REP-YL-028,臺西海口單車修理部,臺西鄉,傳統單車維修,120.197891,23.702891,中山路115號 (臺西派出所周邊),05-6982134,極西海岸長征單車救援、破胎修補、換胎、煞車鋼索更換、高壓打氣,每日 08:00-18:30,台灣西海岸重要補胎修理點，海風強勁路段遇到破胎或落鏈的救命車行。,"極西海口,西濱救急,破胎修補,打氣支援",電話: 05-6982134 | 服務項目: 極西海岸長征單車救援、破胎修補、換胎、煞車鋼索更換、高壓打氣,"https://www.google.com/maps/search/?api=1&query=23.702891,120.197891"
REP-YL-029,口湖金湖鐵馬維修站,口湖鄉,濱海單車救援/維修,120.187891,23.582456,口湖路180號 (近口湖遊客中心/椬梧滯洪池),05-7892112,椬梧滯洪池環湖單車檢修、補胎換胎、鏈條保養、煞車調整、借用工具,週一至週六 08:00-18:30,口湖濕地與小日月潭周邊維修點，提供濱海自行車道騎士即時的故障排除與工具借用。,"椬梧滯洪池周邊,濱海車道救援,補胎換胎",電話: 05-7892112 | 服務項目: 椬梧滯洪池環湖單車檢修、補胎換胎、鏈條保養、煞車調整、借用工具,"https://www.google.com/maps/search/?api=1&query=23.582456,120.187891"
REP-YL-030,元長大同自行車行,元長鄉,傳統單車維修,120.314891,23.648123,中山路58號 (鰲峰宮商圈),05-7882345,台19線省道單車應急修理、補胎換胎、傳動除垢上油、打氣,週一至週六 08:00-19:30,元長市區中心老車行，地處台19線與145線交匯，提供長途香客與騎士可靠技術維護。,"台19線,元長市區,快速修車,打氣",電話: 05-7882345 | 服務項目: 台19線省道單車應急修理、補胎換胎、傳動除垢上油、打氣,"https://www.google.com/maps/search/?api=1&query=23.648123,120.314891"
REP-YL-031,四湖參天單車修理所,四湖鄉,傳統單車維修,120.225432,23.637812,中山路48號 (參天宮前商圈),05-7872211,160縣道往三條崙單車檢修、更換內外胎、煞車片修繕、打氣支援,每日 08:00-19:00,四湖市區參天宮旁，往三條崙黑森林車道前排除車輛異音與破胎的在地老鋪。,"四湖市區,參天宮旁,160縣道,補胎換胎",電話: 05-7872211 | 服務項目: 160縣道往三條崙單車檢修、更換內外胎、煞車片修繕、打氣支援,"https://www.google.com/maps/search/?api=1&query=23.637812,120.225432"
REP-YL-032,水林振興自行車行,水林鄉,傳統單車維修,120.245891,23.571432,水林路20號 (顏思齊故事館旁),05-7852156,開台第一鄉單車修繕、補胎換胎、鏈條保養、煞車鋼索更新,週一至週六 08:00-19:00,水林市區公所旁熱心車行，探訪黃金番薯之鄉與古蹟聚落最佳單車維修據點。,"水林市區,公所旁,開台第一鄉,補胎修繕",電話: 05-7852156 | 服務項目: 開台第一鄉單車修繕、補胎換胎、鏈條保養、煞車鋼索更新,"https://www.google.com/maps/search/?api=1&query=23.571432,120.245891"
