站點代碼,來源分類,行政區,站點名稱,站點細項分類,緯度(Latitude),經度(Longitude),詳細地址/位置,飲水機補水資訊,洗手間/公廁資訊,充氣/單車設施,開放/營業時間,網站小卡文案簡介,特色標籤,Google地圖連結,特色標籤
YL-HW-002,MOOVO自行車租借站,虎尾鎮,國立虎尾科技大學(文化路),學校文教,23.704123,120.435876,文化路64號（虎科大第一校區文化路校門）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),虎尾科技大學核心校區，緊鄰市中心文化路繁榮商圈，學生租借量極高。,"大專院校,虎科大,學生商圈","https://www.google.com/maps/search/?api=1&query=23.704123,120.435876",
YL-HW-003,MOOVO自行車租借站,虎尾鎮,虎尾科技大學(八德街),學校文教,23.701894,120.438912,八德街虎科大第二校區/宿舍區,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),連接虎科大學生宿舍與教學大樓，下課代步跨校區移動首選。,"宿舍接駁,校園通行,生活圈","https://www.google.com/maps/search/?api=1&query=23.701894,120.438912",
YL-HW-004,MOOVO自行車租借站,虎尾鎮,雲林故事館 / 雲林布袋戲館,觀光休閒,23.709321,120.433894,林森路一段528號（日治郡守官邸／虎尾郡役所旁）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),虎尾文化四館核心地帶（故事館、布袋戲館、合同廳舍誠品、虎尾驛）。,"文化古蹟,布袋戲之鄉,誠品虎尾","https://www.google.com/maps/search/?api=1&query=23.709321,120.433894",
YL-HW-005,MOOVO自行車租借站,虎尾鎮,建國眷村,觀光休閒,23.719875,120.418762,建國一村眷村文化園區入口,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),全台少數保存完整的農村型眷村，老屋改造文創工坊與特色咖啡廳雲集。,"歷史眷村,文創基地,漫活騎行","https://www.google.com/maps/search/?api=1&query=23.719875,120.418762",
YL-HW-006,MOOVO自行車租借站,虎尾鎮,虎尾糖廠 / 同心公園,觀光休閒,23.702987,120.436214,中山路與民主三路口（虎尾糖廠冰品部／同心公園旁）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),百年糖都經典地標，品嚐台糖冰棒、欣賞季節性五分車運蔗與百年鐵橋。,"百年糖廠,糖鐵風情,休閒散步","https://www.google.com/maps/search/?api=1&query=23.702987,120.436214",
YL-HW-007,MOOVO自行車租借站,虎尾鎮,臺大醫院雲林分院虎尾院區,機關醫療,23.731456,120.438765,學府路99號（高鐵特定區臺大虎尾分院）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),高鐵特定區大型醫學中心，提供就醫看診與特定區內工作人員低碳通勤。,"醫療園區,高鐵特區,長照就醫","https://www.google.com/maps/search/?api=1&query=23.731456,120.438765",
YL-HW-008,MOOVO自行車租借站,虎尾鎮,興隆毛巾觀光工廠,觀光休閒,23.722894,120.449123,埒內里84-1號（興隆毛巾觀光工廠大門口）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),全台知名毛巾文創觀光工廠，體驗造型毛巾DIY與傳統產業升級魅力。,"觀光工廠,親子同遊,手作體驗","https://www.google.com/maps/search/?api=1&query=23.722894,120.449123",
YL-DN-001,MOOVO自行車租借站,斗南鎮,斗南車站前站,交通轉運,23.679123,120.481234,中山路與延平路一段口（斗南火車站站前廣場）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),斗南重要交通門戶與歷史悠久的折衷主義老車站，串聯市中心商圈與順安宮。,"台鐵車站,市區核心,歷史古蹟","https://www.google.com/maps/search/?api=1&query=23.679123,120.481234",
YL-DN-002,MOOVO自行車租借站,斗南鎮,斗南順安宮,宗教社區,23.675432,120.480123,長安路一段126號（順安宮媽祖廟前）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),斗南在地信仰中心「斗南媽」，周邊傳統美食小吃密集。,"信仰中心,媽祖廟,廟口小吃","https://www.google.com/maps/search/?api=1&query=23.675432,120.480123",
YL-DN-003,MOOVO自行車租借站,斗南鎮,斗南田徑場,觀光休閒,23.684567,120.477654,大成路斗南田徑場正門口,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),全縣運動賽事與大型體育活動主要場地，周邊設有運動休閒公園。,"體育場館,運動健走,休憩空間","https://www.google.com/maps/search/?api=1&query=23.684567,120.477654",
YL-DN-004,MOOVO自行車租借站,斗南鎮,石龜車站,交通轉運,23.642198,120.486543,石龜里石龜火車站旁,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),縱貫鐵路雲林最南端小站，靜謐田園風光，目前因周邊工程暫停營運。,"台鐵小站,農村秘境,工程施工中","https://www.google.com/maps/search/?api=1&query=23.642198,120.486543",
YL-SL-001,MOOVO自行車租借站,西螺鎮,西螺大橋公園 / 蝴蝶公園,觀光休閒,23.803456,120.463219,西螺大橋南端橋頭公園／高灘地蝴蝶公園,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),遠眺經典紅色「遠東第一大橋」之美，濁水溪畔騎行與野餐最佳景點。,"地標景點,西螺大橋,河濱公園","https://www.google.com/maps/search/?api=1&query=23.803456,120.463219",
YL-SL-002,MOOVO自行車租借站,西螺鎮,西螺轉運站,交通轉運,23.799812,120.461945,中山路70號（西螺國道客運轉運站旁）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),國道客運往返台北、台中、高雄轉運中樞，下車即可無縫換乘MOOVO深入西螺老街。,"國道客運,交通轉乘,老街起點","https://www.google.com/maps/search/?api=1&query=23.799812,120.461945",
YL-SL-003,MOOVO自行車租借站,西螺鎮,西螺森活武樹園區,觀光休閒,23.795432,120.457812,光復西路西螺森活武樹園區入口,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),以西螺傳統武術七崁文化為主題的生態綠地，寓教於樂的綠化運動公園。,"七崁武術,生態園區,親子休閒","https://www.google.com/maps/search/?api=1&query=23.795432,120.457812",
YL-BG-001,MOOVO自行車租借站,北港鎮,北港武德宮,宗教社區,23.585412,120.306123,華勝路330號（五路武財神祖廟大門廣場旁）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),全台五路武財神開基祖廟，求財香火鼎盛，信眾參拜與觀光熱門站點。,"財神祖廟,香火鼎盛,朝聖景點","https://www.google.com/maps/search/?api=1&query=23.585412,120.306123",
YL-BG-002,MOOVO自行車租借站,北港鎮,北港觀光大橋 / 北港遊客中心,觀光休閒,23.565891,120.305432,中山路底北港觀光大橋引道／水道頭文化園區旁,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),紅金相間巨型拱橋跨越北港溪，鄰近北港朝天宮老街與水道頭文化園區。,"觀光大橋,朝天宮老街,遊客中心","https://www.google.com/maps/search/?api=1&query=23.565891,120.305432",
YL-BG-003,MOOVO自行車租借站,北港鎮,中國醫藥大學北港附設醫院(媽祖醫院),機關醫療,23.578912,120.301234,新德路123號（媽祖醫院大門口）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),雲林沿海地區重要醫療重鎮，提供病友與醫護便民接駁。,"沿海醫療,長照就醫,無障礙便民","https://www.google.com/maps/search/?api=1&query=23.578912,120.301234",
YL-BG-004,MOOVO自行車租借站,北港鎮,北港文化中心,學校文教,23.573412,120.298765,公園路66號（北港文化中心前庭）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),北港藝文展覽與傳統工藝推廣重鎮，展示北港百年陣頭與宗教工藝歷史。,"藝文展演,傳統工藝,文化推廣","https://www.google.com/maps/search/?api=1&query=23.573412,120.298765",
YL-TK-001,MOOVO自行車租借站,土庫鎮,土庫順天宮,宗教社區,23.693124,120.362145,中正路109號（土庫老街順天宮媽祖廟前）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),歷史悠久的土庫塗褲媽祖廟，座落於土庫老街核心，周邊鴨肉麵線等古早味雲集。,"老街信仰,百年古廟,地方美食","https://www.google.com/maps/search/?api=1&query=23.693124,120.362145",
YL-TK-002,MOOVO自行車租借站,土庫鎮,土庫鎮公所,機關醫療,23.690876,120.360123,石廟里中正路1號（土庫鎮公所大門旁）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),土庫鎮行政中心，鄰近土庫國小與長青公園，民眾洽公與運動便利站點。,"行政機關,便民服務,鎮立園區","https://www.google.com/maps/search/?api=1&query=23.690876,120.360123",
YL-KH-001,MOOVO自行車租借站,口湖鄉,口湖遊客中心,觀光休閒,23.582145,120.174321,光明路163號（雲嘉南濱海國家風景區口湖遊客中心）,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),雲嘉南國家風景區沿海旅遊重要樞紐，提供在地農特產展示與自行車補給站服務。,"國家風景區,濱海旅遊,觀光驛站","https://www.google.com/maps/search/?api=1&query=23.582145,120.174321",
YL-KH-002,MOOVO自行車租借站,口湖鄉,湖口濕地(椬梧滯洪池),觀光休閒,23.568765,120.165432,椬梧滯洪池景觀環湖步道旁,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),譽為「雲林版小日月潭」，水色倒映靜謐絕美，環湖自行車道平緩舒適。,"雲林小日月潭,環湖秘境,賞鳥濕地","https://www.google.com/maps/search/?api=1&query=23.568765,120.165432",
YL-SLN-001,MOOVO自行車租借站,水林鄉,顏思齊故事館 / 水林鄉公所,學校文教,23.571432,120.245678,水林路水林鄉公所／顏思齊開台故事館旁,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),探訪「開台第一鄉」顏思齊拓墾史蹟，水林鄉公所與文化景點核心接駁點。,"開台第一鄉,歷史人文,鄉政中心","https://www.google.com/maps/search/?api=1&query=23.571432,120.245678",
YL-SLN-002,MOOVO自行車租借站,水林鄉,水林通天府,宗教社區,23.568912,120.248123,水北村水林路通天府廣場旁,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),水林主要信仰中心之一，深入水林在地鄉村風光與番薯特產聚落最佳起點。,"在地信仰,農村漫遊,特產商圈","https://www.google.com/maps/search/?api=1&query=23.568912,120.248123",
YL-GK-001,MOOVO自行車租借站,古坑鄉,古坑綠色隧道公園,觀光休閒,23.662145,120.548971,湳仔村湳仔綠色隧道公園入口,周邊設施/視站點所在園區而定,周邊設施/視站點所在園區而定,提供車款: 智慧自行車 / 電動輔助車 | 租借方式: APP掃碼 / 電子票證,24小時營運 (APP/電子票證租借),雲林超人氣林蔭大道，兩側芒果樹綠意盎然，假日農夫市集與單車漫遊必訪首選。,"綠色隧道,林蔭大道,假日市集","https://www.google.com/maps/search/?api=1&query=23.662145,120.548971",
POL-YL-001,派出所/鐵馬驛站,斗六市,斗六派出所 (鐵馬驛站),斗六分局,23.712154,120.544123,雲林縣斗六市文化路36號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗六分局斗六派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.712154,120.544123","24H水廁,冷熱飲水,打氣補胎,斗六市"
POL-YL-002,派出所/鐵馬驛站,斗六市,公正派出所 (鐵馬驛站),斗六分局,23.715678,120.538912,雲林縣斗六市公正路132號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗六分局公正派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.715678,120.538912","24H水廁,冷熱飲水,打氣補胎,斗六市"
POL-YL-003,派出所/鐵馬驛站,斗六市,溝埧派出所 (鐵馬驛站),斗六分局,23.673891,120.537612,雲林縣斗六市溝埧里仁義路89-16號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗六分局溝埧派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.673891,120.537612","24H水廁,冷熱飲水,打氣補胎,斗六市"
POL-YL-004,派出所/鐵馬驛站,斗六市,榴中派出所 (鐵馬驛站),斗六分局,23.731456,120.578912,雲林縣斗六市石榴路222號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗六分局榴中派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.731456,120.578912","24H水廁,冷熱飲水,打氣補胎,斗六市"
POL-YL-005,派出所/鐵馬驛站,斗六市,長安派出所 (鐵馬驛站),斗六分局,23.742145,120.528765,雲林縣斗六市長安里長安路100號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗六分局長安派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.742145,120.528765","24H水廁,冷熱飲水,打氣補胎,斗六市"
POL-YL-006,派出所/鐵馬驛站,斗六市,長平派出所 (鐵馬驛站),斗六分局,23.725678,120.551234,雲林縣斗六市長平里長平路168號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗六分局長平派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.725678,120.551234","24H水廁,冷熱飲水,打氣補胎,斗六市"
POL-YL-007,派出所/鐵馬驛站,斗六市,梅林派出所 (鐵馬驛站),斗六分局,23.698712,120.585678,雲林縣斗六市梅林路150號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗六分局梅林派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.698712,120.585678","24H水廁,冷熱飲水,打氣補胎,斗六市"
POL-YL-008,派出所/鐵馬驛站,林內鄉,林內分駐所 (鐵馬驛站),斗六分局,23.758912,120.614532,雲林縣林內鄉中山路1號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗六分局林內分駐所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.758912,120.614532","24H水廁,冷熱飲水,打氣補胎,林內鄉"
POL-YL-009,派出所/鐵馬驛站,林內鄉,重興派出所 (鐵馬驛站),斗六分局,23.745678,120.601234,雲林縣林內鄉重興村中興路118號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗六分局重興派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.745678,120.601234","24H水廁,冷熱飲水,打氣補胎,林內鄉"
POL-YL-010,派出所/鐵馬驛站,林內鄉,坪頂派出所 (鐵馬驛站),斗六分局,23.765432,120.648765,雲林縣林內鄉坪頂村坪頂路65號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗六分局坪頂派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.765432,120.648765","24H水廁,冷熱飲水,打氣補胎,林內鄉"
POL-YL-011,派出所/鐵馬驛站,莿桐鄉,莿桐分駐所 (鐵馬驛站),斗六分局,23.760123,120.531245,雲林縣莿桐鄉中正路138號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗六分局莿桐分駐所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.760123,120.531245","24H水廁,冷熱飲水,打氣補胎,莿桐鄉"
POL-YL-012,派出所/鐵馬驛站,莿桐鄉,饒平派出所 (鐵馬驛站),斗六分局,23.778912,120.561234,雲林縣莿桐鄉饒平村饒平路59號,提供 (24H免費冷溫熱飲水機),提供 (24H公用洗手間),提供打氣筒、簡易維修工具與急救箱,24小時全年無休,雲林縣警局斗六分局饒平派出所鐵馬驛站，提供24H水廁與車友打氣支援。,,"https://www.google.com/maps/search/?api=1&query=23.778912,120.561234","24H水廁,冷熱飲水,打氣補胎,莿桐鄉"
