編號,行政區,商家名稱,入選品名,商家地址,相關網站,營業時間,經緯度座標,備註
30,斗六市,輕煮丼,輕炙舒肥豬菲力,640雲林縣斗六市八德路27號,https://www.facebook.com/profile.php?id=100083163351336,"11:00–14:00, 17:00–20:00","23.701389, 120.540118",
31,斗六市,鄧肉圓,脆皮肉圓,640雲林縣斗六市興北街88號,https://www.facebook.com/dengMeatball/,週一至週日 07:30–21:00,"23.709610, 120.541280",搬遷至興北街88號
32,斗六市,魷魚興魷魚嘴羹,魷魚羹,640雲林縣斗六市中正路56號,https://www.facebook.com/profile.php?id=100064213791035,週一至週日 08:30–19:30,"23.707833, 120.543085",
33,斗南鎮,AKIRA,招牌海鮮丼,630雲林縣斗南鎮順安街178號,https://www.facebook.com/akiradounan,17:30–20:00 (週日、週一休),"23.676643, 120.480088",搬遷至順安街178號
34,斗南鎮,HUNGHUNG 甜點工作室,巴斯克蛋糕,630雲林縣斗南鎮中山路120號3樓,https://www.facebook.com/Hunghung.Studio/,09:00–17:00 (預約制),"23.674996, 120.481134",搬遷至中山路120號3樓
35,大埤鄉,三角窗,綜合海鮮羹,631雲林縣大埤鄉大埤路7號,https://www.facebook.com/profile.php?id=100083232810852,10:30–19:30 (週一休),"23.635882, 120.435759",原誤植為斗南鎮，正確為大埤鄉
36,斗南鎮,北京王餡餅,豬肉餡餅,630雲林縣斗南鎮中山路59號,無,14:00–18:00 (售完為止),"23.674281, 120.480430",
37,斗南鎮,冰角放空,芒裡偷閒(芒果雪花冰),630雲林縣斗南鎮新興街140號,https://www.facebook.com/IceCorner2017/,11:00–21:00 (週一休),"23.677338, 120.483733",遷至新興街140號
38,斗南鎮,尚珍肉品店,斗南伴手禮-尚珍肉品店,630雲林縣斗南鎮中正路80號,https://m.ccat.com.tw/1173,週一至週日 08:30–21:00,"23.674872, 120.480860",
39,斗南鎮,林松雪冰果室,古早味紅茶,630雲林縣斗南鎮中正路157號,https://www.facebook.com/profile.php?id=100057165039233,週一至週日 09:00–21:00,"23.675765, 120.480612",
40,斗南鎮,阿國師雲蒸薑母鴨,甕蒸薑母鴨,630雲林縣斗南鎮義德路2號,https://www.facebook.com/gingerduck1985/,週一至週日 12:00–00:00,"23.674512, 120.485123",搬遷至義德路2號
41,斗南鎮,屋簷下的幸福,同心花圓 (芋頭西谷米芋圓豆花),630雲林縣斗南鎮大同路67號,https://www.ubereats.com/tw/store/%E5%B1%8B%E7%B0%B7%E4%B8%8B%E7%9A%84%E5%B9%B8%E7%A6%8F/CdhGuAVtXdepZASi4teCEg,依店家現場公告為主,"23.676646, 120.481541",營業時間不固定
42,斗南鎮,屋簷下的幸福,銀耳蓮子桂花釀,630雲林縣斗南鎮大同路67號,https://www.ubereats.com/tw/store/%E5%B1%8B%E7%B0%B7%E4%B8%8B%E7%9A%84%E5%B9%B8%E7%A6%8F/CdhGuAVtXdepZASi4teCEg,依店家現場公告為主,"23.676646, 120.481541",營業時間不固定
43,斗南鎮,斗南徐記肉圓,芋頭肉圓,630雲林縣斗南鎮南昌西路85號,https://www.xuji.com.tw/,週一至週日 10:30–19:00,"23.674996, 120.478956",修正地址為南昌西路85號
44,斗南鎮,斗南徐記肉圓,筍子肉圓,630雲林縣斗南鎮南昌西路85號,https://www.xuji.com.tw/,週一至週日 10:30–19:00,"23.674996, 120.478956",修正地址為南昌西路85號
45,斗南鎮,迷樂卡啡,厚切豬排咖哩,630雲林縣斗南鎮中山路2-1號,https://www.facebook.com/meetlife.cafe/,週一至週日 11:00–21:00,"23.674092, 120.483120",火車站旁舊糖廠倉庫
46,斗南鎮,彭家飯湯,飯湯,630雲林縣斗南鎮延平路一段163號,https://www.facebook.com/peng.rice.soup,週二至週日 11:00–20:00 (週一休),"23.668582, 120.473552",地址修正為一段
47,水林鄉,杰樂蕃薯園,手作無糖地瓜乾,652雲林縣水林鄉大溝村172號,https://www.facebook.com/JieleFh/,週一至週日 09:00–18:00,"23.551694, 120.211603",補齊完整門牌
48,水林鄉,阿德的家,地瓜瑞士捲,652雲林縣水林鄉尖山腳45-18號,https://www.facebook.com/adewang.bakery,週末 10:00–18:00 (平日需預約),"23.568393, 120.245842",位於憨吉秘塘
49,水林鄉,水林玉記號,寶島地瓜燒,652雲林縣水林鄉水林路106號,https://www.facebook.com/Yujihao,週一至週日 08:00–20:00,"23.573138, 120.252615",
50,水林鄉,祥美餅舖,不老農芝麻花生糖,652雲林縣水林鄉水林路221號,https://www.facebook.com/%E6%B0%B4%E6%9E%97%E7%A5%A5%E7%BE%8E%E9%A4%85%E8%88%96-106511394468202/,週一至週日 08:00–20:00,"23.576086, 120.250486",修正門牌為221號
51,水林鄉,祥美餅舖,紅龜粿,652雲林縣水林鄉水林路221號,https://www.facebook.com/%E6%B0%B4%E6%9E%97%E7%A5%A5%E7%BE%8E%E9%A4%85%E8%88%96-106511394468202/,週一至週日 08:00–20:00,"23.576086, 120.250486",修正門牌為221號
52,水林鄉,祥美餅舖,香菇豬肉油飯,652雲林縣水林鄉水林路221號,https://www.facebook.com/%E6%B0%B4%E6%9E%97%E7%A5%A5%E7%BE%8E%E9%A4%85%E8%88%96-106511394468202/,週一至週日 08:00–20:00,"23.576086, 120.250486",修正門牌為221號
53,北港鎮,久旺炎商行,麻辣鴨血臭豆腐、麻辣冷滷味,651雲林縣北港鎮華勝路398號1樓,https://www.facebook.com/p/%E4%B9%85%E6%97%BA%E7%82%8E%E9%A4%8A%E7%94%9F%E9%BA%BB%E8%BE%A3%E9%8D%B7-100063630713054/,11:00–19:30,"23.585520, 120.302315",修正地址為華勝路398號1樓
54,北港鎮,水林涼心青草茶,青草茶,651雲林縣北港鎮大同路343號,https://www.facebook.com/profile.php?id=100057411681997,07:00–18:00 (週日到17:00),"23.571431, 120.301550",遷至大同路343號
55,北港鎮,北港老受鴨肉飯,鴨肉飯,651雲林縣北港鎮中山路104號,https://www.facebook.com/lsy222/,週一至週日 10:30–19:00,"23.568442, 120.304581",
56,北港鎮,阿鹿嘎B,香港絲襪奶茶,651雲林縣北港鎮中華路2之2號,https://www.facebook.com/BusyInLoveSinceBusyEnough,10:00–18:00 (休假日依粉專公告),"23.567310, 120.304322",遷至中華路2之2號
57,北港鎮,北港阿豐油飯麵線糊,油飯、麵線糊,651雲林縣北港鎮中正路24號,無,06:15–13:00 (週三休),"23.570185, 120.301140",遷至中正路24號
58,北港鎮,猛男海鮮魯肉飯,海鮮魯肉飯,651雲林縣北港鎮文化路41-1號,無,依現場/店家粉專公告為主,"23.570752, 120.302144",營業時間不固定
59,北港鎮,傳發之家,麥芽花生糖,651雲林縣北港鎮公民路12號,https://shopee.tw/naye2323,週一至週日 09:00–21:00,"23.568112, 120.305141",店面位於公民路12號
60,北港鎮,北港臻狀元囍餅,切達乳酪餅,651雲林縣北港鎮中山路165號,https://jzyfood.com.tw/,平日08:00–21:00 / 假日07:00–22:00,"23.569588, 120.303965",
61,北港鎮,鴨ㄚ小麵店,法式碱水鴨/黃金炸豆腐,651雲林縣北港鎮大同路234號,https://www.facebook.com/profile.php?id=100063660505141,"10:30–14:00, 16:30–20:00 (週三、四休)","23.570081, 120.301552",
62,古坑鄉,東和泡芙,鳳凰泡芙,646雲林縣古坑鄉文化路23號,https://www.facebook.com/profile.php?id=100057218698565,14:00–18:00 (週一、二休),"23.666922, 120.551631",
63,古坑鄉,劍湖山渡假大飯店,古坑金筍白鰻酥,646雲林縣古坑鄉大湖口67之8號,https://www.janhusan.com.tw/,飯店24小時營業 (餐廳依現場為準),"23.621255, 120.581512",
64,古坑鄉,螢之光咖啡,古坑桂林945桑,646雲林縣古坑鄉桂林村開元2-2號,https://www.facebook.com/fireflylightcafe,週末 10:00–18:00 (平日需預約),"23.606730, 120.584310",
65,古坑鄉,糧莘庇護農場,紅藜餅乾,646雲林縣古坑鄉崁腳村14-20號,https://www.facebook.com/lianshin.farm/,週一至週五 08:00–17:00 (週末休),"23.642511, 120.531208",
66,台西鄉,玉津烘焙坊,沙拉三明治,636雲林縣台西鄉中山路132號,https://www.facebook.com/profile.php?id=100057077648357,週一至週日 08:00–22:00,"23.702845, 120.196321",
67,台西鄉,玉津烘焙坊,牡蠣酥餅,636雲林縣台西鄉中山路132號,https://www.facebook.com/profile.php?id=100057077648357,週一至週日 08:00–22:00,"23.702845, 120.196321",
68,台西鄉,玉津烘焙坊,寶貝蛋黃酥,636雲林縣台西鄉中山路132號,https://www.facebook.com/profile.php?id=100057077648357,週一至週日 08:00–22:00,"23.702845, 120.196321",
69,西螺鎮,安記食品,香鐵蛋,648雲林縣西螺鎮福興路220號,http://www.an-ji.com.tw/,週一至週五 08:00–17:00 (週末休),"23.805510, 120.463325",
70,西螺鎮,安記食品,原味鳥蛋香鐵蛋,648雲林縣西螺鎮福興路220號,http://www.an-ji.com.tw/,週一至週五 08:00–17:00 (週末休),"23.805510, 120.463325",
71,西螺鎮,西螺草仔粿,西螺草仔粿,648雲林縣西螺鎮延平路184號,無,08:00–17:00 (售完為止),"23.800125, 120.459345",
72,西螺鎮,珍的西螺麻糬大王,原味片沾麻糬,648雲林縣西螺鎮延平路130號,https://www.facebook.com/mochi130/,週一至週日 08:30–18:00,"23.800366, 120.461154",
73,西螺鎮,西螺祖傳麻糬大王創始店程文照手工坊原冰上冰,麻糬,648雲林縣西螺鎮埔心路139號,https://www.mochioriginal.com/,週一至週日 08:00–18:30,"23.784533, 120.457812",
74,林內鄉,林內教芋部,芋頭剉冰,643雲林縣林內鄉烏塗村烏塗路78號,https://www.facebook.com/Linneitaro/,11:00–17:00 (週末提前至10:00，週二休),"23.771231, 120.612050",登記門牌為78號
75,林內鄉,林內教芋部,芋頭捲,643雲林縣林內鄉烏塗村烏塗路78號,https://www.facebook.com/Linneitaro/,11:00–17:00 (週末提前至10:00，週二休),"23.771231, 120.612050",登記門牌為78號
76,虎尾鎮,北港阿榮古早味,海陸飯,632雲林縣虎尾鎮中山路61號,https://www.facebook.com/A.Rong.braised.pork.rice/,週一至週日 10:00–20:00,"23.708145, 120.435212",
77,虎尾鎮,AJ CAFÉ,甜蜜蜜糖都-虎尾糖咖啡甜點套餐,632雲林縣虎尾鎮民主路18-5號,https://www.facebook.com/ajcafe2014,13:00–21:30 (休假日依粉專公告),"23.706563, 120.431285",
78,虎尾鎮,虎尾小台北,雞蛋糕,632雲林縣虎尾鎮中正路80號,https://www.facebook.com/profile.php?id=100064030279612,13:00–20:00 (售完為止),"23.709512, 120.433874",
79,虎尾鎮,中華麺そば,特濃豚骨拉麵,632雲林縣虎尾鎮林森路二段207號,https://www.facebook.com/profile.php?id=100063993202575,"11:30–14:00, 17:00–21:00 (週三休)","23.712534, 120.436811",
80,虎尾鎮,井野日本料理,鮭魚親子蓋飯,632雲林縣虎尾鎮民主路18-15號,https://www.facebook.com/profile.php?id=100063853123845,"11:00–14:00, 17:00–20:00","23.706501, 120.431350",
81,虎尾鎮,日光下的貓,雲林米香花生奶舒芙蕾,632雲林縣虎尾鎮林森路二段350號,https://www.facebook.com/profile.php?id=100063990422152,平日 11:00–19:00 / 假日 10:30–20:00 (週三休),"23.714526, 120.438950",搬遷至林森路二段350號
82,虎尾鎮,四川樂山,麻辣燙,632雲林縣虎尾鎮和平路107號,https://www.ubereats.com/tw/store/%E5%9B%9B%E5%B7%9D%E6%A8%82%E5%B1%B1%E9%BA%BB%E8%BE%A3%E7%87%99-%E9%9B%B2%E6%9E%97%E5%BE%A9%E8%88%88%E5%BA%97/b2yUtpZZXKWCRorp8VD9bQ,16:00–23:00 (依店家現場公告),"23.708210, 120.433240",營業時間不固定
83,虎尾鎮,怪咖咖啡,咖啡汽水,632雲林縣虎尾鎮建國一村83-6號,https://www.facebook.com/guaicoffee/,三至五 10:00–17:00 / 週末 13:00–18:00 (週一二休),"23.716125, 120.420653",進駐建國眷村
84,虎尾鎮,披薩老爹虎尾總店,任性小孩,632雲林縣虎尾鎮立德路129號,https://www.facebook.com/pizzapapa2015/,"11:00–14:00, 17:00–21:00 (週一二休)","23.704250, 120.436150",修正地址為立德路
85,虎尾鎮,抱糰料理工作室,季節鹹飯,632雲林縣虎尾鎮建國一村83號丁棟,https://www.facebook.com/profile.php?id=61550421847384,依店家粉專公告為主,"23.716120, 120.420655",營業時間不固定
86,虎尾鎮,虎珍堂,虎月燒,632雲林縣虎尾鎮中山路13號,https://www.hjtang.com.tw/,週一至週日 10:00–18:30,"23.706110, 120.434310",
87,虎尾鎮,海中寶餐廳,苦茶油雞,632雲林縣虎尾鎮文科路166號,https://www.facebook.com/HaiZhongBao/,09:00–17:00 (或依現場公告為主),"23.722810, 120.438515",營業時間不固定
88,虎尾鎮,偶鵝嚐嚐,鵝肉專賣店-虎尾店,632雲林縣虎尾鎮成德街102號,https://www.facebook.com/profile.php?id=61550354077164,"11:00–14:00, 17:00–20:00 (週四休)","23.713500, 120.443150",修正地址門牌
89,虎尾鎮,媽祖埔豆腐張,麻辣臭豆腐鴨血煲,632雲林縣虎尾鎮林森路二段471號,http://www.mzp1991.com/,"11:00–14:00, 17:00–20:30","23.719615, 120.441235",
90,虎尾鎮,樂包子 LeBaozi,鮮肉包,632雲林縣虎尾鎮林森路二段25號,https://www.lebaozi.com.tw/,週一至週日 06:30–22:00,"23.712150, 120.436210",
91,虎尾鎮,蔗香甜,蔗香手工蛋捲,632雲林縣虎尾鎮德興路1-2號,https://www.facebook.com/sugarcanesweet/,09:00–18:00,"23.708892, 120.435012",
92,虎尾鎮,"請進,來吃甜",車輪餅(芋泥純肉鬆),632雲林縣虎尾鎮新興路21號,https://www.facebook.com/profile.php?id=100063990352520,14:00–18:30 (週一二休),"23.708511, 120.434255",
93,虎尾鎮,饅享受,療癒造型饅頭,632雲林縣虎尾鎮文科路926號,https://www.facebook.com/profile.php?id=100063853123845,10:00–18:00 (週日休),"23.716155, 120.441850",
94,崙背鄉,千巧谷,焦糖布蕾堡,637雲林縣崙背鄉建國路28號,https://www.valley-bakery.com.tw/,週一至週日 08:00–22:00,"23.761750, 120.354611",
95,崙背鄉,李排骨酥,米糕,637雲林縣崙背鄉建國路16號,https://www.facebook.com/profile.php?id=100063990152520,06:00–13:30 (週四休),"23.761852, 120.354721",
96,崙背鄉,李排骨酥,排骨酥湯,637雲林縣崙背鄉建國路16號,https://www.facebook.com/profile.php?id=100063990152520,06:00–13:30 (週四休),"23.761852, 120.354721",
97,崙背鄉,李排骨酥,滷肉飯,637雲林縣崙背鄉建國路16號,https://www.facebook.com/profile.php?id=100063990152520,06:00–13:30 (週四休),"23.761852, 120.354721",
98,崙背鄉,臺一養蜂園蜜茶站,蜂蜜蛋糕,637雲林縣崙背鄉建國路18號,https://www.taiyi-bee.com.tw/,週一至週日 08:00–21:00,"23.761820, 120.354680",
99,莿桐鄉,圓仔冰,圓仔冰,647雲林縣莿桐鄉中正路138號,無,08:00–19:00 (週二休),"23.760155, 120.461123",
100,莿桐鄉,閣再來,筒仔米糕,647雲林縣莿桐鄉中正路192號,無,07:00–19:00,"23.759244, 120.462310",
